kernel,t_base,t_seed,F_b1,S_b1,F_b2,S_b2,F_full,S_full
eye_kernel,1.560062,1.320053,1.0,1.181817699743874,0.9850744820731103,1.1641784584800314,0.9850744820731103,1.1641784584800314
matmul_kernel_simplified,2.720109,2.720109,1.079365073066516,1.079365073066516,0.9784174085135449,0.9784174085135449,1.0708660518357136,1.0708660518357136
_act_quant_kernel,110.944435,110.944435,1.117220540125435,1.117220540125435,1.1140790972974128,1.1140790972974128,11.852564331297017,11.852564331297017
_rms_norm_kernel,302.472107,78.183128,1.0440705123496927,4.039262892205862,,,,
mean_kernel,358.314331,174.646988,0.9970312959677389,2.045558333938993,,,,
